Months,Minimum,Maximum,Average,Monthly fluctuation,
Jan-18,480.6,484.93,482.74,,
Feb-18,480.46,483.11,481.38,-1.36,
Mar-18,480.06,480.94,480.44,-0.94,
Apr-18,480.06,483.72,481.43,0.99,
May-18,482.48,486.68,484.1,2.67,
Jun-18,482.02,483.49,482.63,-1.47,
Jul-18,480.3,483.17,481.5,-1.13,
Aug-18,480.95,483.14,482.42,0.92,
Sep-18,481.66,485.41,483.72,1.3,
Oct-18,483.28,486.24,484.99,1.27,
Nov-18,484.26,488.68,486.3,1.31,
Dec-18,483.75,485.28,484.63,-1.6,
Jan-19,483.75,486.98,485.33,,
Feb-19,487.07,489.85,488.36,3.03,
Mar-19,485.86,490.68,487.57,-0.79,
Apr-19,480.48,487.42,484.28,-3.29,
